"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:40:43:621","65216251725116","   0.104","   8.199"," 1286"," 1100"," 1700"," 1287","   1.550","   0.162","   0.045","   0.803","   0.084","   0.023"," 42","0"," 39"," 41","   0.617","   0.064","   0.018","  15.000","    0","    0"
"06:40:43:738","65216414101676","   0.221","  20.737"," 1655"," 1100"," 2600"," 1670","   2.904","   0.501","   0.139","   2.013","   0.319","   0.089"," 42","0"," 39"," 43","   0.791","   0.157","   0.044","  15.000","  500","  500"
"06:40:43:838","65216553983872","   0.322","  18.662"," 2479"," 1500"," 3300"," 2510","   6.755","   1.179","   0.328","   5.024","   0.824","   0.229"," 42","0"," 40"," 44","   1.336","   0.291","   0.081","  15.000","    0","    0"
"06:40:43:939","65216694605256","   0.423","  17.066"," 1968"," 1100"," 3300"," 1978","   4.582","   1.642","   0.456","   2.943","   1.121","   0.311"," 42","0"," 40"," 42","   1.234","   0.416","   0.115","  15.000","    0","    0"
"06:40:44:043","65216839181630","   0.526","  19.802"," 1588"," 1100"," 2000"," 1589","   3.579","   2.014","   0.559","   2.171","   1.346","   0.374"," 42","0"," 40"," 41","   1.080","   0.528","   0.147","  15.000","    0","    0"
"06:40:44:147","65216983339732","   0.630","  20.869"," 2406"," 1100"," 3400"," 2472","   6.904","   2.729","   0.758","   5.333","   1.899","   0.527"," 42","0"," 40"," 44","   1.320","   0.664","   0.185","  15.000","  500","  500"
"06:40:44:252","65217129728310","   0.735","  17.623"," 1544"," 1100"," 2000"," 1555","   3.073","   3.052","   0.848","   1.831","   2.091","   0.581"," 43","0"," 40"," 42","   0.982","   0.768","   0.213","  15.000","    0","    0"
"06:40:44:354","65217271293966","   0.837","  12.814"," 1370"," 1100"," 2000"," 1371","   2.191","   3.275","   0.910","   1.227","   2.216","   0.616"," 42","0"," 39"," 41","   0.763","   0.845","   0.235","  15.000","    0","    0"
"06:40:44:455","65217411915244","   0.938","  20.756"," 1610"," 1100"," 2000"," 1614","   3.609","   3.639","   1.011","   2.264","   2.445","   0.679"," 42","0"," 39"," 42","   1.167","   0.963","   0.268","  15.000","    0","    0"
"06:40:44:555","65217552026806","   1.038","  17.607"," 1444"," 1100"," 2000"," 1452","   2.822","   3.924","   1.090","   1.737","   2.620","   0.728"," 42","0"," 39"," 41","   0.893","   1.053","   0.292","  15.000","    0","    0"
"06:40:44:657","65217692946576","   1.140","  28.556"," 2304"," 1100"," 3300"," 2443","   6.985","   4.631","   1.286","   5.702","   3.197","   0.888"," 42","0"," 40"," 46","   1.291","   1.184","   0.329","  15.000","    0","    0"
"06:40:44:757","65217832782680","   1.240","  17.480"," 2148"," 1100"," 3700"," 2188","   5.308","   5.164","   1.434","   4.315","   3.630","   1.008"," 47","0"," 40"," 49","   0.933","   1.277","   0.355","  15.000","    0","    0"
"06:40:44:862","65217978499180","   1.345","  31.536"," 3451"," 3100"," 3700"," 3874","  18.831","   7.135","   1.982","  16.149","   5.321","   1.478"," 49","0"," 41"," 50","   2.365","   1.525","   0.424","  15.000","  500","  500"
"06:40:44:964","65218120641302","   1.447","  42.734"," 3269"," 2900"," 3400"," 3900","  22.138","   9.396","   2.610","  18.157","   7.175","   1.993"," 51","0"," 44"," 51","   2.690","   1.800","   0.500","  15.000","  500","  500"
"06:40:45:064","65218260515936","   1.547","  18.148"," 2151"," 1100"," 3300"," 2215","   5.883","   9.987","   2.774","   3.753","   7.552","   2.098"," 43","0"," 42"," 51","   1.348","   1.935","   0.538","  15.000","    0","    0"
"06:40:45:166","65218401433778","   1.649","  17.756"," 1760"," 1100"," 3100"," 1763","   3.587","  10.350","   2.875","   2.664","   7.822","   2.173"," 43","0"," 40"," 43","   0.965","   2.033","   0.565","  15.000","    0","    0"
"06:40:45:269","65218545249540","   1.752","  15.661"," 1837"," 1100"," 3500"," 1825","   4.224","  10.786","   2.996","   3.010","   8.133","   2.259"," 43","0"," 40"," 46","   0.995","   2.136","   0.593","  15.000","    0","    0"
"06:40:45:370","65218686058520","   1.853","   3.721"," 1283"," 1100"," 1700"," 1278","   0.866","  10.874","   3.021","   0.311","   8.164","   2.268"," 43","0"," 40"," 41","   0.476","   2.184","   0.607","  15.000","    0","    0"
"06:40:45:471","65218827053636","   1.954","   2.326"," 1274"," 1100"," 1700"," 1287","   0.672","  10.942","   3.039","   0.247","   8.189","   2.275"," 43","0"," 40"," 41","   0.400","   2.224","   0.618","  15.000","    0","    0"
"06:40:45:575","65218970915386","   2.058","   2.984"," 1258"," 1100"," 1700"," 1274","   0.730","  11.018","   3.060","   0.273","   8.217","   2.283"," 43","0"," 39"," 41","   0.435","   2.269","   0.630","  15.000","    0","    0"
"06:40:45:680","65219117755126","   2.163","   2.834"," 1256"," 1100"," 1700"," 1261","   0.745","  11.096","   3.082","   0.285","   8.247","   2.291"," 42","0"," 39"," 41","   0.430","   2.315","   0.643","  15.000","    0","    0"
"06:40:45:781","65219257825464","   2.264","   2.656"," 1265"," 1100"," 1700"," 1276","   0.682","  11.165","   3.101","   0.260","   8.274","   2.298"," 43","0"," 39"," 41","   0.412","   2.356","   0.654","  15.000","    0","    0"
"06:40:45:885","65219402336690","   2.368","  10.425"," 1278"," 1100"," 1700"," 1286","   1.557","  11.326","   3.146","   0.835","   8.360","   2.322"," 42","0"," 39"," 41","   0.648","   2.423","   0.673","  15.000","    0","    0"
"06:40:45:988","65219546185630","   2.471","  12.405"," 1271"," 1100"," 1700"," 1274","   1.793","  11.512","   3.198","   1.037","   8.467","   2.352"," 42","0"," 39"," 41","   0.674","   2.493","   0.692","  15.000","    0","    0"
"06:40:46:089","65219686824046","   2.572","  12.501"," 1390"," 1100"," 1900"," 1400","   2.762","  11.791","   3.275","   1.279","   8.597","   2.388"," 42","0"," 39"," 41","   0.995","   2.594","   0.720","  15.000","    0","    0"
"06:40:46:190","65219827022732","   2.673","   9.119"," 1431"," 1100"," 2000"," 1433","   1.702","  11.962","   3.323","   0.941","   8.691","   2.414"," 42","0"," 39"," 41","   0.785","   2.673","   0.742","  15.000","    0","    0"
"06:40:46:290","65219967074486","   2.773","   9.047"," 1289"," 1100"," 1700"," 1290","   1.439","  12.107","   3.363","   0.820","   8.774","   2.437"," 43","0"," 40"," 41","   0.528","   2.726","   0.757","  15.000","    0","    0"
"06:40:46:394","65220111743080","   2.877","   9.406"," 1315"," 1100"," 1700"," 1313","   1.546","  12.268","   3.408","   0.888","   8.866","   2.463"," 42","0"," 39"," 41","   0.546","   2.782","   0.773","  15.000","    0","    0"
"06:40:46:497","65220254276534","   2.980","  11.407"," 1270"," 1100"," 1700"," 1276","   1.652","  12.437","   3.455","   0.965","   8.965","   2.490"," 42","0"," 39"," 41","   0.565","   2.840","   0.789","  15.000","    0","    0"
"06:40:46:601","65220399861904","   3.084","   9.214"," 1293"," 1100"," 1700"," 1299","   1.495","  12.593","   3.498","   0.867","   9.056","   2.515"," 42","0"," 39"," 41","   0.535","   2.896","   0.805","  15.000","    0","    0"
"06:40:46:702","65220540749942","   3.186","  29.683"," 1823"," 1100"," 2600"," 1820","   4.573","  13.056","   3.627","   3.514","   9.411","   2.614"," 42","0"," 39"," 43","   1.026","   3.000","   0.833","  15.000","    0","    0"
"06:40:46:803","65220680532898","   3.286","  14.977"," 1517"," 1100"," 3100"," 1535","   2.448","  13.302","   3.695","   1.679","   9.580","   2.661"," 42","0"," 39"," 42","   0.610","   3.061","   0.850","  15.000","    0","    0"
"06:40:46:903","65220820178570","   3.386","  17.125"," 2504"," 1100"," 3800"," 2527","   7.758","  14.080","   3.911","   5.581","  10.140","   2.817"," 43","0"," 40"," 47","   1.321","   3.194","   0.887","  15.000","    0","    0"
"06:40:47:005","65220962561304","   3.489","  14.093"," 1657"," 1100"," 2600"," 1674","   3.551","  14.443","   4.012","   1.856","  10.330","   2.869"," 42","0"," 40"," 42","   1.113","   3.308","   0.919","  15.000","    0","    0"
"06:40:47:106","65221102116780","   3.589","  14.283"," 1809"," 1100"," 2600"," 1801","   4.607","  14.905","   4.140","   2.195","  10.550","   2.930"," 42","0"," 40"," 42","   1.475","   3.456","   0.960","  15.000","    0","    0"
"06:40:47:210","65221246915222","   3.693","  16.070"," 1664"," 1100"," 2600"," 1674","   4.242","  15.346","   4.263","   2.075","  10.766","   2.990"," 42","0"," 40"," 41","   1.346","   3.596","   0.999","  15.000","    0","    0"
"06:40:47:311","65221388220010","   3.794","   7.369"," 1256"," 1100"," 1800"," 1236","   1.177","  15.466","   4.296","   0.644","  10.831","   3.009"," 43","0"," 40"," 41","   0.492","   3.646","   1.013","  15.000","    0","    0"
"06:40:47:413","65221529773308","   3.896","   6.861"," 1230"," 1100"," 1700"," 1229","   0.965","  15.564","   4.323","   0.574","  10.889","   3.025"," 42","0"," 40"," 41","   0.388","   3.685","   1.024","  15.000","    0","    0"
"06:40:47:513","65221669677860","   3.997","   7.756"," 1251"," 1100"," 1700"," 1249","   1.060","  15.670","   4.353","   0.648","  10.954","   3.043"," 42","0"," 39"," 41","   0.441","   3.729","   1.036","  15.000","    0","    0"
"06:40:47:618","65221814892562","   4.101","   5.473"," 1230"," 1100"," 1700"," 1232","   0.853","  15.759","   4.378","   0.502","  11.007","   3.057"," 42","0"," 39"," 41","   0.364","   3.767","   1.047","  15.000","    0","    0"
"06:40:47:721","65221958830004","   4.204","   3.419"," 1253"," 1100"," 1700"," 1251","   0.571","  15.819","   4.394","   0.299","  11.038","   3.066"," 42","0"," 39"," 41","   0.332","   3.802","   1.056","  15.000","    0","    0"
"06:40:47:822","65222098701360","   4.305","   5.052"," 1250"," 1100"," 1700"," 1249","   0.822","  15.901","   4.417","   0.499","  11.088","   3.080"," 42","0"," 39"," 41","   0.359","   3.838","   1.066","  15.000","    0","    0"
"06:40:47:922","65222238623818","   4.405","  12.008"," 1580"," 1100"," 2600"," 1597","   2.474","  16.150","   4.486","   1.420","  11.231","   3.120"," 42","0"," 39"," 41","   0.761","   3.914","   1.087","  15.000","    0","    0"
"06:40:48:025","65222381181188","   4.508","  14.694"," 1532"," 1100"," 2600"," 1527","   3.725","  16.531","   4.592","   1.704","  11.405","   3.168"," 43","0"," 39"," 41","   1.308","   4.048","   1.125","  15.000","  500","  500"
"06:40:48:125","65222521129954","   4.608","  15.010"," 1588"," 1100"," 2500"," 1594","   4.292","  16.963","   4.712","   1.852","  11.591","   3.220"," 43","0"," 39"," 41","   1.444","   4.193","   1.165","  15.000","  500","  500"
"06:40:48:227","65222663213480","   4.710","  16.951"," 1637"," 1100"," 2600"," 1650","   4.457","  17.418","   4.838","   2.092","  11.805","   3.279"," 42","0"," 40"," 41","   1.473","   4.344","   1.207","  15.000","  500","  500"
"06:40:48:328","65222803406652","   4.811","  12.935"," 1416"," 1100"," 2000"," 1415","   2.841","  17.704","   4.918","   1.288","  11.935","   3.315"," 43","0"," 39"," 42","   1.135","   4.458","   1.238","  15.000","    0","    0"
"06:40:48:433","65222950148202","   4.916","   4.816"," 1249"," 1100"," 1700"," 1254","   0.799","  17.788","   4.941","   0.450","  11.982","   3.328"," 43","0"," 39"," 41","   0.394","   4.500","   1.250","  15.000","    0","    0"
"06:40:48:537","65223094294460","   5.020","   6.347"," 1267"," 1100"," 1700"," 1269","   0.957","  17.887","   4.969","   0.543","  12.038","   3.344"," 42","0"," 39"," 41","   0.408","   4.542","   1.262","  15.000","    0","    0"
"06:40:48:638","65223235547212","   5.121","   6.302"," 1244"," 1100"," 1700"," 1243","   0.923","  17.981","   4.995","   0.575","  12.097","   3.360"," 42","0"," 39"," 41","   0.386","   4.581","   1.273","  15.000","    0","    0"
"06:40:48:739","65223375426448","   5.222","   2.208"," 1291"," 1100"," 1700"," 1312","   0.448","  18.026","   5.007","   0.202","  12.117","   3.366"," 42","0"," 39"," 41","   0.309","   4.612","   1.281","  15.000","    0","    0"
"06:40:48:844","65223521412514","   5.327","   7.611"," 2054"," 1100"," 3500"," 2090","   2.118","  18.248","   5.069","   1.789","  12.305","   3.418"," 45","0"," 39"," 46","   0.377","   4.652","   1.292","  15.000","    0","    0"
"06:40:48:949","65223667903084","   5.432","  19.714"," 3620"," 1100"," 3800"," 3795","  14.621","  19.787","   5.496","  13.774","  13.754","   3.821"," 43","0"," 40"," 53","   0.945","   4.751","   1.320","  15.000","    0","    0"
"06:40:49:053","65223812163878","   5.536","   6.739"," 1287"," 1100"," 3100"," 1255","   0.939","  19.884","   5.523","   0.558","  13.812","   3.837"," 42","0"," 40"," 43","   0.434","   4.796","   1.332","  15.000","    0","    0"
"06:40:49:156","65223955520182","   5.639","  18.352"," 1521"," 1100"," 2000"," 1526","   4.019","  20.298","   5.638","   1.929","  14.011","   3.892"," 42","0"," 40"," 42","   1.373","   4.937","   1.372","  15.000","    0","    0"
"06:40:49:261","65224102140736","   5.744","  12.831"," 1456"," 1100"," 2000"," 1464","   2.919","  20.605","   5.724","   1.347","  14.153","   3.931"," 42","0"," 40"," 42","   1.073","   5.050","   1.403","  15.000","    0","    0"
"06:40:49:361","65224241847924","   5.844","  10.188"," 1386"," 1100"," 1700"," 1381","   1.379","  20.744","   5.762","   0.957","  14.249","   3.958"," 42","0"," 39"," 41","   0.504","   5.101","   1.417","  15.000","    0","    0"
"06:40:49:465","65224386093668","   5.948","   9.354"," 1266"," 1100"," 1700"," 1263","   1.225","  20.871","   5.797","   0.780","  14.329","   3.980"," 42","0"," 40"," 41","   0.431","   5.146","   1.429","  15.000","    0","    0"
"06:40:49:566","65224527147708","   6.049","   4.743"," 1306"," 1100"," 1700"," 1294","   0.813","  20.953","   5.820","   0.436","  14.374","   3.993"," 43","0"," 39"," 41","   0.381","   5.184","   1.440","  15.000","    0","    0"
"06:40:49:671","65224672923968","   6.154","   5.799"," 1254"," 1100"," 1700"," 1256","   0.885","  21.046","   5.846","   0.515","  14.428","   4.008"," 42","0"," 39"," 41","   0.374","   5.223","   1.451","  15.000","    0","    0"
"06:40:49:776","65224819754818","   6.260","   5.281"," 1241"," 1100"," 1700"," 1249","   0.779","  21.128","   5.869","   0.449","  14.475","   4.021"," 42","0"," 39"," 41","   0.376","   5.263","   1.462","  15.000","    0","    0"
"06:40:49:877","65224959703772","   6.360","   5.726"," 1331"," 1100"," 2000"," 1336","   0.970","  21.226","   5.896","   0.576","  14.533","   4.037"," 42","0"," 39"," 41","   0.413","   5.305","   1.473","  15.000","    0","    0"
"06:40:49:978","65225099912978","   6.461","   7.561"," 1243"," 1100"," 1700"," 1251","   1.101","  21.336","   5.927","   0.658","  14.599","   4.055"," 42","0"," 39"," 41","   0.429","   5.348","   1.485","  15.000","    0","    0"
"06:40:50:083","65225246121330","   6.566","   5.530"," 1228"," 1100"," 1700"," 1231","   0.810","  21.422","   5.950","   0.468","  14.648","   4.069"," 42","0"," 39"," 41","   0.367","   5.386","   1.496","  15.000","    0","    0"
"06:40:50:188","65225392015120","   6.671","   3.415"," 1251"," 1100"," 1700"," 1257","   0.592","  21.484","   5.968","   0.317","  14.682","   4.078"," 42","0"," 39"," 41","   0.335","   5.421","   1.506","  15.000","    0","    0"
"06:40:50:288","65225531790132","   6.771","   3.113"," 1251"," 1100"," 1700"," 1251","   1.325","  21.617","   6.005","   0.357","  14.717","   4.088"," 43","0"," 39"," 41","   0.701","   5.492","   1.525","  15.000","    0","    0"
"06:40:50:393","65225678553252","   6.877","   2.750"," 1259"," 1100"," 1700"," 1262","   0.503","  21.670","   6.019","   0.262","  14.745","   4.096"," 42","0"," 39"," 40","   0.328","   5.526","   1.535","  15.000","    0","    0"
"06:40:50:499","65225825275356","   6.982","   2.707"," 1250"," 1100"," 1700"," 1256","   0.528","  21.725","   6.035","   0.257","  14.772","   4.103"," 42","0"," 39"," 41","   0.327","   5.561","   1.545","  15.000","    0","    0"
"06:40:50:604","65225971356350","   7.087","   2.202"," 1273"," 1100"," 1700"," 1269","   0.469","  21.775","   6.048","   0.229","  14.796","   4.110"," 42","0"," 39"," 40","   0.323","   5.595","   1.554","  15.000","    0","    0"
"06:40:50:704","65226111269940","   7.187","   2.481"," 1270"," 1100"," 1700"," 1273","   0.505","  21.825","   6.063","   0.259","  14.822","   4.117"," 43","0"," 39"," 40","   0.325","   5.627","   1.563","  15.000","    0","    0"
"06:40:50:805","65226251179728","   7.288","   2.030"," 1298"," 1100"," 1700"," 1311","   0.421","  21.868","   6.074","   0.211","  14.843","   4.123"," 41","0"," 39"," 40","   0.299","   5.658","   1.572","  15.000","    0","    0"
"06:40:50:905","65226391393814","   7.389","   2.881"," 1270"," 1100"," 1700"," 1262","   0.524","  21.920","   6.089","   0.269","  14.870","   4.131"," 42","0"," 39"," 40","   0.323","   5.690","   1.581","  15.000","    0","    0"
"06:40:51:006","65226531425462","   7.489","   2.162"," 1279"," 1100"," 1700"," 1283","   0.480","  21.969","   6.102","   0.239","  14.894","   4.137"," 42","0"," 39"," 41","   0.302","   5.720","   1.589","  15.000","    0","    0"
"06:40:51:107","65226672354966","   7.590","   2.773"," 1262"," 1100"," 1700"," 1256","   0.534","  22.023","   6.117","   0.271","  14.922","   4.145"," 42","0"," 39"," 40","   0.318","   5.753","   1.598","  15.000","    0","    0"
"06:40:51:212","65226817810670","   7.695","   3.341"," 1250"," 1100"," 1700"," 1265","   0.589","  22.084","   6.135","   0.303","  14.954","   4.154"," 42","0"," 39"," 40","   0.329","   5.787","   1.607","  15.000","    0","    0"
"06:40:51:317","65226964562280","   7.800","   2.232"," 1289"," 1100"," 1700"," 1296","   0.504","  22.138","   6.149","   0.259","  14.981","   4.161"," 43","0"," 39"," 40","   0.304","   5.819","   1.616","  15.000","    0","    0"
"06:40:51:420","65227107453142","   7.903","  12.098"," 1350"," 1100"," 1700"," 1240","   1.547","  22.296","   6.193","   1.129","  15.097","   4.194"," 42","0"," 39"," 41","   0.407","   5.861","   1.628","  15.000","    0","    0"
"06:40:51:521","65227248402162","   8.004","   7.495"," 1590"," 1200"," 1700"," 1444","   1.293","  22.427","   6.230","   0.921","  15.190","   4.219"," 42","0"," 39"," 41","   0.351","   5.896","   1.638","  15.000","    0","    0"
"06:40:51:622","65227388692880","   8.105","   3.418"," 1252"," 1100"," 1700"," 1253","   0.638","  22.492","   6.248","   0.343","  15.224","   4.229"," 42","0"," 39"," 41","   0.337","   5.930","   1.647","  15.000","    0","    0"
"06:40:51:728","65227535624102","   8.211","   2.840"," 1256"," 1100"," 1700"," 1253","   0.502","  22.544","   6.262","   0.251","  15.251","   4.236"," 43","0"," 39"," 40","   0.303","   5.962","   1.656","  15.000","    0","    0"
"06:40:51:832","65227681260424","   8.315","   1.949"," 1291"," 1100"," 1700"," 1300","   0.466","  22.593","   6.276","   0.209","  15.273","   4.242"," 42","0"," 39"," 40","   0.321","   5.996","   1.666","  15.000","    0","    0"
"06:40:51:933","65227821820278","   8.416","   4.214"," 1246"," 1100"," 1700"," 1253","   0.584","  22.652","   6.292","   0.346","  15.308","   4.252"," 43","0"," 39"," 40","   0.398","   6.036","   1.677","  15.000","    0","    0"
"06:40:52:038","65227967789814","   8.521","   2.373"," 1264"," 1100"," 1700"," 1264","   0.495","  22.704","   6.307","   0.221","  15.331","   4.259"," 42","0"," 39"," 40","   0.331","   6.071","   1.686","  15.000","    0","    0"
"06:40:52:140","65228109444838","   8.623","   2.673"," 1267"," 1100"," 1700"," 1267","   0.508","  22.756","   6.321","   0.260","  15.357","   4.266"," 42","0"," 39"," 40","   0.320","   6.103","   1.695","  15.000","    0","    0"
"06:40:52:245","65228256197576","   8.728","   3.141"," 1255"," 1100"," 1700"," 1262","   0.562","  22.815","   6.338","   0.301","  15.389","   4.275"," 41","0"," 39"," 40","   0.326","   6.138","   1.705","  15.000","    0","    0"
"06:40:52:351","65228402948612","   8.834","   3.868"," 1285"," 1100"," 1700"," 1289","   0.698","  22.889","   6.358","   0.388","  15.430","   4.286"," 42","0"," 39"," 40","   0.382","   6.178","   1.716","  15.000","    0","    0"
"06:40:52:454","65228547229702","   8.937","   2.274"," 1271"," 1100"," 1700"," 1267","   0.480","  22.938","   6.372","   0.230","  15.454","   4.293"," 43","0"," 39"," 40","   0.340","   6.213","   1.726","  15.000","    0","    0"
"06:40:52:555","65228687081244","   9.038","   2.390"," 1289"," 1100"," 1700"," 1294","   0.435","  22.982","   6.384","   0.217","  15.476","   4.299"," 42","0"," 39"," 40","   0.310","   6.244","   1.735","  15.000","    0","    0"
"06:40:52:660","65228833808136","   9.143","   2.373"," 1271"," 1100"," 1700"," 1282","   0.491","  23.034","   6.398","   0.246","  15.502","   4.306"," 41","0"," 39"," 40","   0.296","   6.275","   1.743","  15.000","    0","    0"
"06:40:52:766","65228980530648","   9.249","   2.752"," 1270"," 1100"," 1700"," 1278","   0.549","  23.092","   6.414","   0.288","  15.532","   4.314"," 42","0"," 39"," 40","   0.323","   6.310","   1.753","  15.000","    0","    0"
"06:40:52:871","65229127236300","   9.354","   2.365"," 1276"," 1100"," 1700"," 1264","   0.491","  23.144","   6.429","   0.243","  15.558","   4.322"," 41","0"," 39"," 40","   0.325","   6.344","   1.762","  15.000","    0","    0"
"06:40:52:975","65229271821054","   9.458","   2.401"," 1273"," 1100"," 1700"," 1273","   0.450","  23.190","   6.442","   0.230","  15.582","   4.328"," 41","0"," 39"," 40","   0.300","   6.375","   1.771","  15.000","    0","    0"
"06:40:53:080","65229418560506","   9.563","   2.408"," 1268"," 1100"," 1700"," 1280","   0.471","  23.240","   6.456","   0.210","  15.604","   4.334"," 42","0"," 39"," 40","   0.320","   6.409","   1.780","  15.000","    0","    0"
"06:40:53:186","65229565276932","   9.669","   2.363"," 1273"," 1100"," 1700"," 1291","   0.431","  23.285","   6.468","   0.221","  15.627","   4.341"," 41","0"," 39"," 40","   0.288","   6.439","   1.789","  15.000","    0","    0"
"06:40:53:288","65229707466902","   9.771","   2.397"," 1281"," 1100"," 1700"," 1293","   0.523","  23.339","   6.483","   0.245","  15.652","   4.348"," 42","0"," 38"," 40","   0.338","   6.473","   1.798","  15.000","    0","    0"
"06:40:53:393","65229854225184","   9.876","   2.625"," 1261"," 1100"," 1700"," 1257","   0.516","  23.393","   6.498","   0.249","  15.678","   4.355"," 42","0"," 39"," 40","   0.310","   6.506","   1.807","  15.000","    0","    0"
"06:40:53:499","65230000958280","   9.982","   2.503"," 1267"," 1100"," 1700"," 1269","   0.467","  23.442","   6.512","   0.249","  15.704","   4.362"," 42","0"," 39"," 40","   0.299","   6.538","   1.816","  15.000","    0","    0"
"06:40:53:604","65230147694454","  10.087","   2.405"," 1269"," 1100"," 1700"," 1271","   0.481","  23.493","   6.526","   0.230","  15.729","   4.369"," 42","0"," 39"," 40","   0.307","   6.570","   1.825","  15.000","    0","    0"
"06:40:53:704","65230287455508","  10.188","   2.074"," 1281"," 1100"," 1700"," 1298","   0.421","  23.535","   6.538","   0.187","  15.747","   4.374"," 41","0"," 39"," 40","   0.336","   6.604","   1.834","  15.000","    0","    0"
"06:40:53:805","65230427583604","  10.288","   3.418"," 1254"," 1100"," 1700"," 1266","   0.597","  23.595","   6.554","   0.336","  15.781","   4.384"," 42","0"," 38"," 40","   0.331","   6.637","   1.844","  15.000","    0","    0"
"06:40:53:910","65230574291550","  10.394","   2.927"," 1264"," 1100"," 1700"," 1266","   0.508","  23.649","   6.569","   0.245","  15.807","   4.391"," 42","0"," 39"," 40","   0.320","   6.671","   1.853","  15.000","    0","    0"
"06:40:54:016","65230721042464","  10.499","   2.924"," 1255"," 1100"," 1700"," 1266","   0.537","  23.706","   6.585","   0.300","  15.839","   4.400"," 41","0"," 39"," 40","   0.292","   6.702","   1.862","  15.000","    0","    0"
"06:40:54:121","65230867721380","  10.604","   2.365"," 1261"," 1100"," 1700"," 1273","   0.469","  23.755","   6.599","   0.203","  15.860","   4.406"," 41","0"," 38"," 40","   0.339","   6.737","   1.872","  15.000","    0","    0"
"06:40:54:227","65231014435832","  10.710","   2.801"," 1257"," 1100"," 1700"," 1262","   0.530","  23.811","   6.614","   0.247","  15.886","   4.413"," 41","0"," 38"," 40","   0.335","   6.773","   1.881","  15.000","    0","    0"
"06:40:54:332","65231161266698","  10.815","   2.489"," 1274"," 1100"," 1700"," 1278","   0.566","  23.871","   6.631","   0.256","  15.913","   4.420"," 41","0"," 38"," 40","   0.344","   6.809","   1.891","  15.000","    0","    0"
"06:40:54:435","65231304447476","  10.918","   2.867"," 1255"," 1100"," 1700"," 1254","   0.549","  23.927","   6.646","   0.277","  15.942","   4.428"," 41","0"," 38"," 40","   0.363","   6.846","   1.902","  15.000","    0","    0"
"06:40:54:537","65231446587684","  11.020","   3.332"," 1259"," 1100"," 1700"," 1267","   0.537","  23.982","   6.662","   0.275","  15.970","   4.436"," 42","0"," 38"," 40","   0.342","   6.881","   1.911","  15.000","    0","    0"
"06:40:54:638","65231586720698","  11.121","   3.061"," 1256"," 1100"," 1700"," 1266","   0.567","  24.039","   6.677","   0.304","  16.000","   4.445"," 41","0"," 38"," 40","   0.323","   6.914","   1.920","  15.000","    0","    0"
"06:40:54:738","65231726528942","  11.221","   4.871"," 1408"," 1100"," 1700"," 1427","   0.804","  24.120","   6.700","   0.479","  16.049","   4.458"," 41","0"," 38"," 40","   0.375","   6.951","   1.931","  15.000","    0","    0"
"06:40:54:844","65231873273840","  11.327","   2.839"," 1266"," 1100"," 1700"," 1268","   0.604","  24.183","   6.718","   0.342","  16.085","   4.468"," 41","0"," 38"," 40","   0.327","   6.986","   1.941","  15.000","    0","    0"
"06:40:54:949","65232019997226","  11.432","   2.322"," 1278"," 1100"," 1700"," 1283","   0.408","  24.226","   6.730","   0.209","  16.107","   4.474"," 41","0"," 38"," 40","   0.276","   7.015","   1.949","  15.000","    0","    0"
"06:40:55:054","65232165721086","  11.537","   3.722"," 1243"," 1100"," 1700"," 1247","   0.611","  24.290","   6.747","   0.320","  16.140","   4.483"," 41","0"," 38"," 40","   0.327","   7.049","   1.958","  15.000","    0","    0"
"06:40:55:154","65232305640206","  11.637","   3.204"," 1255"," 1100"," 1700"," 1263","   0.605","  24.351","   6.764","   0.324","  16.173","   4.492"," 41","0"," 38"," 40","   0.359","   7.085","   1.968","  15.000","    0","    0"
"06:40:55:255","65232445547786","  11.738","   2.479"," 1267"," 1100"," 1700"," 1264","   0.469","  24.398","   6.777","   0.240","  16.197","   4.499"," 42","0"," 38"," 40","   0.312","   7.117","   1.977","  15.000","    0","    0"
"06:40:55:360","65232592318602","  11.843","   2.538"," 1256"," 1100"," 1700"," 1259","   0.493","  24.450","   6.792","   0.254","  16.224","   4.507"," 41","0"," 38"," 40","   0.303","   7.149","   1.986","  15.000","    0","    0"
"06:40:55:466","65232739073424","  11.949","   2.452"," 1271"," 1100"," 1700"," 1279","   0.508","  24.504","   6.807","   0.270","  16.252","   4.514"," 41","0"," 38"," 40","   0.298","   7.180","   1.994","  15.000","    0","    0"
"06:40:55:570","65232885038690","  12.054","   2.591"," 1299"," 1100"," 1700"," 1300","   0.548","  24.561","   6.823","   0.257","  16.279","   4.522"," 41","0"," 38"," 40","   0.349","   7.217","   2.005","  15.000","    0","    0"
